dre,ugel
DRE LAMBAYEQUE,UGEL FERREÑAFE
DRE LIMA METROPOLITANA,UGEL 1-SAN JUAN DE MIRAFLORES
DRE LIMA METROPOLITANA,UGEL 2-RIMAC
DRE LIMA METROPOLITANA,UGEL 3-LIMA
DRE LIMA METROPOLITANA,UGEL 4-COMAS
DRE LIMA METROPOLITANA,UGEL 5-SAN JUAN DE LURIGANCHO
DRE LIMA METROPOLITANA,UGEL 6-ATE VITARTE
DRE LIMA METROPOLITANA,UGEL 7-SAN BORJA
DRE LIMA PROVINCIAS,UGEL 8 - CAÑETE
DRE LIMA PROVINCIAS,UGEL 9 - HUAURA
DRE LIMA PROVINCIAS,UGEL 10 - HUARAL
DRE LIMA PROVINCIAS,UGEL 11 - CAJATAMBO
DRE LIMA PROVINCIAS,UGEL 12 - CANTA
DRE LIMA PROVINCIAS,UGEL 13 - YAUYOS
DRE LIMA PROVINCIAS,UGEL 14 - OYON
DRE LIMA PROVINCIAS,UGEL 15 - HUAROCHIRI
DRE LIMA PROVINCIAS,UGEL 16 - BARRANCA
DRE LORETO,UGEL MAYNAS
DRE LORETO,UGEL ALTO AMAZONAS
DRE LORETO,UGEL REQUENA
DRE LORETO,UGEL UCAYALI
DRE LORETO,UGEL LORETO NAUTA
DRE LORETO,UGEL DATEM DE MARAÑON
DRE LORETO,UGEL RAMÓN CASTILLA
DRE LORETO,UGEL PUTUMAYO
DRE MADRE DE DIOS,UGEL TAMBOPATA
DRE MADRE DE DIOS,UGEL MANU
DRE MADRE DE DIOS,UGEL TAHUAMANU
DRE MOQUEGUA,UGEL MARISCAL NIETO
DRE MOQUEGUA,UGEL GENERAL SÁNCHEZ CERRO
DRE MOQUEGUA,UGEL ILO
DRE PASCO,UGEL PASCO 
DRE PASCO,UGEL DANIEL ALCIDES CARRIÓN
DRE PASCO,UGEL OXAPAMPA
DRE PIURA,UGEL AYABACA
DRE PIURA,UGEL CHULUCANAS
DRE PIURA,UGEL HUANCABAMBA
DRE PIURA,UGEL HUARMACA
DRE PIURA,UGEL LA UNIÓN
DRE PIURA,UGEL MORROPON
DRE PIURA,UGEL PAITA
DRE PIURA,UGEL PIURA
DRE PIURA,UGEL SECHURA
DRE PIURA,UGEL SULLANA
DRE PIURA,UGEL TALARA
DRE PIURA,UGEL TAMBOGRANDE
DRE PUNO,UGEL AZANGARO
DRE PUNO,UGEL CARABAYA
DRE PUNO,UGEL CRUCERO
DRE PUNO, UGEL CHUCUITO
DRE PUNO,UGEL COLLAO
DRE PUNO,UGEL HUANCANE
DRE PUNO,UGEL LAMPA
DRE PUNO,UGEL MOHO
DRE PUNO,UGEL MELGAR
DRE PUNO,UGEL PUNO
DRE PUNO,UGEL SAN ANTONIO DE PUTINA
DRE PUNO,UGEL SAN ROMAN
DRE PUNO,UGEL SANDIA
DRE PUNO,UGEL YUNGUYO
DRE SAN MARTIN,UGEL MOYOBAMBA
DRE SAN MARTIN,UGEL RIOJA
DRE SAN MARTIN,UGEL LAMAS
DRE SAN MARTIN,UGEL SAN MARTIN
DRE SAN MARTIN,UGEL EL DORADO
DRE SAN MARTIN,UGEL PICOTA
DRE SAN MARTIN,UGEL BELLAVISTA
DRE SAN MARTIN,UGEL MARISCAL CACERES
DRE SAN MARTIN,UGEL HUALLAGA
DRE SAN MARTIN,UGEL TOCACHE
DRE TACNA,UGEL TACNA
DRE TACNA,UGEL TARATA
DRE TACNA,UGEL CANDARAVE
DRE TACNA,UGEL JORGE BASADRE
DRE TACNA,
DRE TUMBES,UGEL TUMBES
DRE TUMBES,UGEL ZARUMILLA
DRE TUMBES,UGEL CONTRALMIRANTE VILLAR
DRE UCAYALI,UGEL CORONEL PORTILLO
DRE UCAYALI,UGEL PADRE ABAD
DRE UCAYALI,UGEL ATALAYA
DRE UCAYALI,UGEL PURUS
