"research_id","status_id","date_at","history_note","instant_name","history_id"
4579,2,"2018-09-28","Inicio de investigacion","Nuevo",9466
4580,2,"2018-09-28","Inicio de investigacion","Nuevo",9467
4581,2,"2018-09-28","Inicio de investigacion","Nuevo",9468
4581,4,"2019-12-27","Culminado al 27-12-2019 presento :  -Informe final -Articulo cientifico -CD","Culminado",10408
4582,2,"2018-09-28","Inicio de investigacion","Nuevo",9469
4583,2,"2018-09-28","Inicio de investigacion","Nuevo",9470
4584,2,"2018-09-28","Inicio de investigacion","Nuevo",9471
4584,4,"2019-12-27","Culminado al 27-12-2019 presento :  -Informe final -Articulo cientifico -CD","Culminado",10474
4585,2,"2018-09-28","Inicio de investigacion","Nuevo",9472
4585,4,"2019-12-27","Culminado al 27-12-2019 presento :  -Informe final -Articulo cientifico -CD","Culminado",10464
4586,2,"2018-09-28","Inicio de investigacion","Nuevo",9475
4586,3,"2018-12-28","En Ejecucion al 28-12-2018 presento :  -Informe Trimestral -Carta","En Ejecucion",9673
4586,3,"2019-03-29","En Ejecucion al 29-03-2019 presento :  -Informe Trimestral -Carta","En Ejecucion",9784
4586,3,"2019-06-28","En Ejecucion al 28-06-2019 presento :  -Informe Trimestral -Carta","En Ejecucion",10051
4586,3,"2019-09-27","En Ejecucion al 27-09-2019 presento :  -Informe Trimestral -Carta","En Ejecucion",10246
4586,3,"2019-12-27","En Ejecucion al 27-12-2019 presento :  -Informe Trimestral -Carta","En Ejecucion",10390
4586,3,"2020-03-19","En Ejecucion al 19-03-2020 presento :  -Informe Trimestral -Carta","En Ejecucion",10691
4586,3,"2020-06-19","En Ejecucion al 19-06-2020 presento :  -Informe Trimestral -Carta","En Ejecucion",10692
4586,3,"2020-07-31","En Ejecucion al 31-07-2020 presento :  -Informe Trimestral -Carta","En Ejecucion",10693
4586,3,"2020-08-28","En Ejecucion al 28-08-2020 presento :  -Informe Trimestral -Carta","En Ejecucion",10784
4587,2,"2018-09-28","Inicio de investigacion","Nuevo",9476
4587,3,"2018-12-28","En Ejecucion al 28-12-2018 presento :  -Informe Trimestral -Carta","En Ejecucion",9663
4587,3,"2019-03-29","En Ejecucion al 29-03-2019 presento :  -Informe Trimestral -Carta","En Ejecucion",9779
4587,3,"2019-06-28","En Ejecucion al 28-06-2019 presento :  -Informe Trimestral -Carta","En Ejecucion",10048
4587,3,"2019-09-27","En Ejecucion al 27-09-2019 presento :  -Informe Trimestral -Carta","En Ejecucion",10236
4587,3,"2019-12-27","En Ejecucion al 27-12-2019 presento :  -Informe Trimestral -Carta","En Ejecucion",10376
4587,3,"2020-03-20","En Ejecucion al 20-03-2020 presento :  -Informe Trimestral -Carta","En Ejecucion",10679
4587,3,"2020-06-19","En Ejecucion al 19-06-2020 presento :  -Informe Trimestral -Carta","En Ejecucion",10680
4587,3,"2020-07-31","En Ejecucion al 31-07-2020 presento :  -Informe Trimestral -Carta","En Ejecucion",10681
4587,3,"2020-08-28","En Ejecucion al 28-08-2020 presento :  -Informe Trimestral -Carta","En Ejecucion",10779
4587,3,"2021-06-30","En Ejecucion al 30-06-2021 presento :  -Informe Trimestral -Carta","En Ejecucion",11399
4588,2,"2018-09-28","Inicio de investigacion","Nuevo",9477
4588,3,"2018-12-28","En Ejecucion al 28-12-2018 presento :  -Informe Trimestral -Carta","En Ejecucion",9676
4588,3,"2019-03-29","En Ejecucion al 29-03-2019 presento :  -Informe Trimestral -Carta","En Ejecucion",9787
4588,3,"2019-06-28","En Ejecucion al 28-06-2019 presento :  -Informe Trimestral -Carta","En Ejecucion",10053
4588,3,"2019-09-27","En Ejecucion al 27-09-2019 presento :  -Informe Trimestral -Carta","En Ejecucion",10240
4588,3,"2019-12-27","En Ejecucion al 27-12-2019 presento :  -Informe Trimestral -Carta","En Ejecucion",10388
4589,2,"2018-09-28","Inicio de investigacion","Nuevo",9478
4589,3,"2018-12-28","En Ejecucion al 28-12-2018 presento :  -Informe Trimestral -Carta","En Ejecucion",9674
4589,3,"2019-03-29","En Ejecucion al 29-03-2019 presento :  -Informe Trimestral -Carta","En Ejecucion",9785
4589,3,"2019-06-28","En Ejecucion al 28-06-2019 presento :  -Informe Trimestral -Carta","En Ejecucion",10059
4589,3,"2019-09-27","En Ejecucion al 27-09-2019 presento :  -Informe Trimestral -Carta","En Ejecucion",10245
4589,3,"2019-12-27","En Ejecucion al 27-12-2019 presento :  -Informe Trimestral -Carta","En Ejecucion",10387
4589,4,"2020-12-31","Culminado al 31-12-2020 presento :  -Informe final -Articulo cientifico -CD","Culminado",11295
4590,2,"2018-09-28","Inicio de investigacion","Nuevo",9479
4590,3,"2018-12-28","En Ejecucion al 28-12-2018 presento :  -Informe Trimestral -Carta","En Ejecucion",9675
4590,3,"2019-03-29","En Ejecucion al 29-03-2019 presento :  -Informe Trimestral -Carta","En Ejecucion",9786
4590,3,"2019-06-28","En Ejecucion al 28-06-2019 presento :  -Informe Trimestral -Carta","En Ejecucion",10052
4590,3,"2019-09-27","En Ejecucion al 27-09-2019 presento :  -Informe Trimestral -Carta","En Ejecucion",10239
4590,3,"2019-12-27","En Ejecucion al 27-12-2019 presento :  -Informe Trimestral -Carta","En Ejecucion",10382
4590,3,"2020-03-20","En Ejecucion al 20-03-2020 presento :  -Informe Trimestral -Carta","En Ejecucion",10657
4590,3,"2020-06-19","En Ejecucion al 19-06-2020 presento :  -Informe Trimestral -Carta","En Ejecucion",10658
4590,3,"2020-07-31","En Ejecucion al 31-07-2020 presento :  -Informe Trimestral -Carta","En Ejecucion",10659
4590,3,"2020-08-25","En Ejecucion al 25-08-2020 presento :  -Informe Trimestral -Carta","En Ejecucion",10775
4591,2,"2018-09-28","Inicio de investigacion","Nuevo",9480
4591,4,"2019-12-12","Culminado al 12-12-2019 presento :  -Informe final -Articulo cientifico -CD","Culminado",10290
4592,2,"2018-09-28","Inicio de investigacion","Nuevo",9481
4593,2,"2018-09-28","Inicio de investigacion","Nuevo",9482
4593,3,"2018-12-28","En Ejecucion al 28-12-2018 presento :  -Informe Trimestral -Carta","En Ejecucion",9640
4593,3,"2019-03-29","En Ejecucion al 29-03-2019 presento :  -Informe Trimestral -Carta","En Ejecucion",9758
4593,3,"2019-06-28","En Ejecucion al 28-06-2019 presento :  -Informe Trimestral -Carta","En Ejecucion",10027
4593,3,"2019-09-27","En Ejecucion al 27-09-2019 presento :  -Informe Trimestral -Carta","En Ejecucion",10214
4593,3,"2019-12-27","En Ejecucion al 27-12-2019 presento :  -Informe Trimestral -Carta","En Ejecucion",10358
4595,4,"2011-09-07","Culminado al 21-11-2018 presento :  -Informe final -Articulo cientifico -CD","Culminado",9500
4595,2,"2018-11-21","Inicio de investigacion","Nuevo",9499
4598,4,"2012-05-07","Culminado al 07-05-2012 presento :  -Informe final -Articulo cientifico","Culminado",9502
4598,2,"2018-11-21","Inicio de investigacion","Nuevo",9501
4599,4,"2012-12-20","Culminado al 20-12-2012 presento :  -Informe final -Articulo cientifico","Culminado",9504
4599,2,"2018-11-21","Inicio de investigacion","Nuevo",9503
4600,4,"2012-11-20","Culminado al 20-11-2012 presento :  -Informe final -Articulo cientifico","Culminado",9506
4600,2,"2018-11-21","Inicio de investigacion","Nuevo",9505
4601,4,"2014-01-14","Culminado al 14-01-2014 presento :  -Informe final -Articulo cientifico","Culminado",9508
4601,2,"2018-11-21","Inicio de investigacion","Nuevo",9507
4602,4,"2017-02-01","Culminado al 01-02-2017 presento :  -Informe final -Articulo cientifico","Culminado",9510
4602,2,"2018-11-21","Inicio de investigacion","Nuevo",9509
