"id","name","type","parent_id","organization_id"
97,"Gestion de cuencas hidrograficas","Grupo",,10
98,"Zonificacion ecologica y economica","Linea",97,
99,"Gestion de los recursos hidricos","Linea",97,
100,"Gestion del riesgo","Linea",97,
101,"Planificacion y ordenamiento territorial","Linea",97,
102,"Gestion y conservacion del recurso suelo","Linea",97,
103,"Cambio climatico","Grupo",,10
104,"Escenarios climaticos futuros y sus potenciales problemas globales sobre el suelo y agua","Linea",103,
105,"Meteorologia y Climatologia","Linea",103,
106,"Tecnologias de adaptacion al cambio climatico","Linea",103,
107,"Evaluacion de los impactos ambientales de los recursos naturales","Linea",103,
108,"Variacion de los regimenes climaticos","Linea",103,
109,"Redes, seguridad y gestion de TI","Grupo",,16
110,"Redes e Infraestructura de TI","Linea",109,
111,"Ciberseguridad","Linea",109,
112,"Internet de las cosas","Linea",109,
113,"Seguridad de la informacion","Linea",109,
114,"Sistemas de Informacion - GISI","Grupo",,16
115,"Gestion de procesos de negocio","Linea",114,
116,"Arquitectura empresarial","Linea",114,
117,"Gestion de datos","Linea",114,
118,"Gestion de servicios de TI","Linea",114,
119,"Ingenieria de Software - GINSOFT","Grupo",,16
120,"Calidad de software","Linea",119,
121,"Arquitectura de software","Linea",119,
122,"Procesos de software","Linea",119,
123,"Ingenieria de requisitos","Linea",119,
124,"Construccion de software","Linea",119,
125,"Computacion","Linea",119,
126,"Estadistica aplicada y Ciencia Computacional","Grupo",,16
127,"Modelos estadisticos","Linea",126,
128,"Procesos estocasticos","Linea",126,
129,"Estadistica descriptiva","Linea",126,
130,"Estadistica inferencial","Linea",126,
131,"Estadistica parametrica","Linea",126,
132,"Demografia","Linea",126,
133,"Modelos matematicos y tecnicos numericos computacionales","Linea",126,
134,"Matematica aplicada y Computacion Cientifica","Grupo",,16
135,"Modelos y aplicaciones matematicas discretas y continuas","Linea",134,
136,"Ecuaciones diferenciales y sistemas dinamicos","Linea",134,
137,"Metodos numericos y modelacion matematica","Linea",134,
138,"Dinamica poblacional","Linea",134,
139,"Modelos matematicos y tecnicas numericas computacionales","Linea",134,
140,"Optimizacion, control y probabilidad","Linea",134,
141,"Modelado de sistemas","Linea",134,
142,"Epidemiologia matematica","Linea",134,
143,"Ecologia matematica","Linea",134,
144,"Didactica en el nivel superior","Grupo",,16
145,"Evaluacion de sistemas educativos","Linea",144,
146,"Metodos de ensenanza de la matematica","Linea",144,
147,"Uso de las TIC en la ensenanza de la matematica","Linea",144,
148,"Software educativo","Linea",144,
149,"Investigacion en electromecanica","Grupo",,19
150,"Generacion, transmision y distribucion de energia electrica","Linea",149,
151,"Modelamiento, simulacion y automatizacion de sistemas mecanicos, electricos y electronicos","Linea",149,
152,"Investigacion en fisica","Grupo",,19
153,"Sintesis de nuevos materiales y analisis de estructuras y conformacion de piezas industriales","Linea",152,
154,"Fisica teorica y computacional","Linea",152,
155,"Investigacion en Agrofisica","Grupo",,10
156,"Hidraulica","Linea",155,
157,"Riego Tecnificado","Linea",155,
158,"Maquinaria y Mecanizacion Agricola","Linea",155,
159,"Ciencias sociales y Desarrollo sostenible","Grupo",,21
160,"Contabilidad","Linea",159,
161,"Auditoria","Linea",159,
162,"Tributacion","Linea",159,
163,"Finanzas","Linea",159,
164,"Etica y responsabilidad social en las organizaciones","Linea",159,
165,"Economia Empresarial, sectores productivos, sociales, cadena de valor","Grupo",,23
166,"Economia empresarial, sectores productivos, sociales, cadena de valor","Linea",165,
167,"Economia Publica, Economia Financiera, Gestion y Politicas Publicas","Grupo",,23
168,"Economia Publica, Economia financiera, Gestion y politicas publicas","Linea",167,
169,"Bioeconomia, Sostenibilidad y Evaluacion de Impactos Economicos, Sociales y Ambientales","Grupo",,23
170,"Bioeconomia, sostenibilidad y evaluacion de impactos economicos, sociales y ambientales","Linea",169,
171,"DESARROLLO EMPRESARIAL","Grupo",,23
172,"Desarrollo empresarial","Linea",171,
173,"DESARROLLO DE INSTITUCIONES PUBLICAS Y SOCIALES","Grupo",,23
174,"Desarrollo de Instituciones publicas y sociales","Linea",173,
175,"DEMOCRACIA POLITICA Y GOBIERNO, ESTADO, SOCIEDAD Y FAMILIA, GESTION EDUCATIVA UNIVERSITARIA Y CALIDAD Y ETICA PROFESIONAL","Grupo",,23
176,"Democracia politica y gobierno","Linea",175,
177,"Estado sociedad y familia","Linea",175,
178,"Gestion educativa universitaria y calidad","Linea",175,
179,"Etica profesional","Linea",175,
180,"Estudios Filosoficos de las Ciencias y Tecnicas","Linea",175,
181,"Sociedad cultural y comunicacion","Linea",175,
182,"Creacion y produccion artistica","Linea",175,
183,"CAPITAL HUMANO Y SALUD EN EL TRABAJO","Grupo",,23
184,"Capital Humano","Linea",183,
185,"Gestion Empresarial","Linea",183,
186,"Gestion de Operaciones","Linea",183,
187,"Salud Ocupacional","Linea",183,
