"type","type_name","name","date","research_id"
2,"Articulo cientifico","Efecto de dos niveles de inoculacion bruta de Micorriza VA; en dos fuentes y niveles fostatadas en Erithroxylum coca, en Tingo Maria.","2000-06-12",1268
NULL,NULL,"Distanciamiento y numero de hijuelos por golpe para un solo ciclo de produccion del platano Isla (Musa paradisiaca L.) en Tulumayo.","2000-06-09",220
NULL,NULL,"Impacto economico de los programas de desarrollo en los caserios de Chinchavito, Puerto Guadalupe y San Miguel.","2000-06-06",3464
2,"Articulo cientifico","Dinamica poblacional y el producto bruto interno en el Peru: 1950 - 2005.","2000-06-06",322
2,"Articulo cientifico","Uilizacion del ensilado de pescado en el engorde de cuyes (cavia cobayo) en Tingo Maria.","2000-06-03",2310
NULL,NULL,"Evaluacion del potencial de produccion y clasificacion de los suelos cafetaleros en Tingo Maria.","2000-06-02",3260
1,"Tesis","Evaluacion de dos tipos de abonos organicos en el comportamiento de tres hotalizas de hoja en epoca de invierno en Tingo Maria.","2000-06-02",1194
NULL,NULL,"Diagnostico de plagas y enfermedades de la ""abeja melifera"" (Apis mellifera L.) en Tingo Maria.","2000-05-30",3863
1,"Tesis","Influencia del tamaño de Hijuelo y profundidad de siembra en la produccion de platano Var. Isla (Musa Paradisica L.) en Tingo Maria.","2000-05-30",1272
2,"Articulo cientifico","Efecto del Cycocel, cloruro de 2-clorometiltrimetilamonio bajo aplicaciones foliares en el cultivo de soya (Glycine max (L) Merril) en Tingo Maria.","2000-05-30",102
2,"Articulo cientifico","La nueva dimension cognitiva de la Contabilidad en relacion a las exigencias del nuevo entorno economico","2000-05-30",250
2,"Articulo cientifico","Influencia del tamaño de Hijuelo y profundidad de siembra en la produccion de platano Var. Isla (Musa Paradisica L.) en Tingo Maria.","2000-05-30",1272
2,"Articulo cientifico","Texto: Gestion Estrategica de la Microempresa y Pequeña Empresa","2000-05-29",9
2,"Articulo cientifico","CACAO: La cedena de valor del principal cultivo alternativo de la provincia de Leoncio Prado.","2000-05-29",7
2,"Articulo cientifico","Fuente nitrica y amoniacal de nitrogeno en la produccion de Hortalizas en un Huerto Horticola con fertirrigacion","2000-05-24",1
2,"Articulo cientifico","Fuente nitrica y amoniacal de nitrogeno en la produccion de Hortalizas en un Huerto Horticola con fertirrigacion","2000-05-24",1
2,"Articulo cientifico","Rendimiento Academico de los estudiantes de la Universidad Nacional Agraria de la Selva","2000-05-17",55
NULL,NULL,"Evaluacion de la sangre de grado (Croton sp.) como promotores en cicatrizacion de lesiones cutaneas en ratas de laboratorio.","2000-05-09",944
2,"Articulo cientifico","Zonificacion Geotecnica de la ciudad de Tingo Maria.","2000-05-03",68
2,"Articulo cientifico","Fuente nitrica y amoniacal de nitrogeno en la produccion de Hortalizas en un Huerto Horticola con fertirrigacion","2000-05-03",1
2,"Articulo cientifico","Evaluacion de la fertilidad de los suelos, plagas y enfermedades del cultivo de la Hierba Luisa (Cymbopongon citratus S.) en Tingo Maria.","2000-05-03",83
2,"Articulo cientifico","Optimizacion y estudio tecnologico del nectar de Guanabana (Annona muricata L cv Elita) y Chirimoya (Anona cherimola Mill) estabilizado con linaza (Linum usitatissimum) y edulcorado con Stevia (Stevia rebaudiana)","2000-05-02",451
1,"Tesis","Efecto antihelmentico de la pepa de papaya (carica papaya L.) en el tratamiento de parasitos gastrointestinales en corderos.","2000-04-25",2207
2,"Articulo cientifico","Efecto antihelmentico de la pepa de papaya (carica papaya L.) en el tratamiento de parasitos gastrointestinales en corderos.","2000-04-25",2207
1,"Tesis","Determinacin de la via en anaquel de ajos (Allium sativum) en polvo mediante Pruebas aceleradas ASLT.","2000-03-31",1385
2,"Articulo cientifico","Estudio de los componentes fisicos, quimicos y biologicos del agua de consumo del poblado ""Puente Prado"".","2000-03-29",430
NULL,NULL,"Efecto del escaldado sobre las propiedades reologicos de pulpas de siete variedades de plantanos.","2000-03-29",3474
2,"Articulo cientifico","Costos de recuperacion de suelos degradados con Guaba Inga edulis en Selva Alta.","2000-03-24",766
2,"Articulo cientifico","Costos de recuperacion de suelos degradados con Guaba Inga edulis en Selva Alta.","2000-03-24",766
NULL,NULL,"Evaluacion de fertilizantes Fosfo - humicos y determinacion del coeficiente aparente de uso en suelos residual y aluvial en soya (Glycine max (L) Merril) en invernadero.","2000-03-23",3259
2,"Articulo cientifico","Indicadores de gestion y desarrollo de la Universidad Nacional Agraria de la Selva","2000-03-21",418
2,"Articulo cientifico","Planificacion participativa para la implementacion de sistemas agroforestales en la Cuenca Media de la Margen Derecha del Alto Huallaga.","2000-03-21",387
2,"Articulo cientifico","Implicancias del condicionamiento fisico en personas de la tercera edad.","2000-03-20",47
NULL,NULL,"Regresion en la transicion cristalina de los alimentos.","2000-03-14",3479
2,"Articulo cientifico","Desarrollo de un modelo de solucion para la ecuacion del calor mediante series de Fourier.","2000-03-14",431
2,"Articulo cientifico","Teoria y realidad del RUS y su incidencia en el sistema tributario peruano","2000-03-13",244
NULL,NULL,"Epidemiologia, resistencia e manejo de podridao de maniliophthora do cacau no Peru.","2000-03-01",113
2,"Articulo cientifico","Fenologia del tomate de arbol en la cuenca de Tingo Maria.","2000-02-16",149
2,"Articulo cientifico","Ensayo cronologico de sistemas Agro-Silvo-Pastoril.","2000-02-15",888
NULL,NULL,"Engorde intensivo de vacunos aplicando anabolicos (zeranol y boldedona undecilinato) en Tingo Maria.","2000-02-15",3061
2,"Articulo cientifico","Habitos alimenticios y nivel nutricional en escolares en Tingo Maria - 1995","2000-02-05",152
NULL,NULL,"Influencia de la labranza manual y manejo del rastrojo en el rendimiento de frijol de palo (Cajanus cajan (L) Millsp.), de crecimiento determinado en Tingo Maria.","2000-01-27",3291
1,"Tesis","Caracterizacion agroecologica del fundo la divisoria, con enfasis en suelos relacionados con la vegetacion.","2000-01-25",2613
NULL,NULL,"""Valoracion economica de la deforestacion en el Parque Nacional Tingo Maria"" (Sectores; Rio Oro, Juan Santos Atahualpa, Quebrada Tres de Mayo)","2000-01-22",3891
NULL,NULL,"Estudio tecnico para la creacion de la especialidad de Ingenieria en Informatica y Sistemas en la UNAS.","2000-01-20",3517
2,"Articulo cientifico","Implicancia de los procedimientos aplicados en los dictamenes periciales contables y su efecto en la administracion de justicia.","2000-01-18",1304
2,"Articulo cientifico","Indicadores de gestion y desarrollo de la Universidad Nacional Agraria de la Selva","2000-01-10",418
NULL,NULL,"La logica no formal en el calculo diferencial de funciones univariantes.","2000-01-04",3518
2,"Articulo cientifico","Zonificacion y ordenamiento ambiental de los terrenos de la UNAS - Tingo Maria","2000-01-04",62
NULL,NULL,"Estudio Biotipologico del ganado vacuno de la provincia de Leoncio Prado.","2000-01-01",2102
2,"Articulo cientifico","Implementacion de especies nuevas para el Museo de Zoologia.","1999-12-23",809
NULL,NULL,"Deshidratacion osmotica de hongos comestibles del genero Pleurotus ostreatus.","1999-12-20",3515
2,"Articulo cientifico","Caracterizacio fisico quimica, actividad antioxidante y sensorial del agua de coco (Cocos nucifera L.) Tierno y maduro.","1999-12-17",434
1,"Tesis","Determinacion de la pubertad en carnerillos cruzados (Assaf x pelibuey) en Tingo Maria.","1999-12-07",2201
NULL,NULL,"Planificacion para el desarrollo rural a traves de las unidades operativas basicas (U.O.B) en la provincia de Leoncio Prado.","1999-12-07",640
NULL,NULL,"Construyendo la ventaja competitiva de la provincia de Leoncio Prado","1999-11-15",43
NULL,NULL,"Evaluacion de sistemas de produccion agricola maiz (Zea mays L.) - pepinillo () en Tingo Maria.","1999-11-08",3258
