"research_id","role","author_id","name","responsible_id"
4257,"Miembro ordinario",71,"Proyecto de Investigacion",16452
4257,"Miembro equipo de trabajo",93,"Proyecto de Investigacion",16454
4257,"Miembro extraordinario",235,"Proyecto de Investigacion",16453
4258,"Miembro ordinario",94,"Proyecto de Investigacion",16455
4258,"Miembro extraordinario",92,"Proyecto de Investigacion",16456
4258,"Miembro equipo de trabajo",93,"Proyecto de Investigacion",16457
4259,"Miembro ordinario",96,"Proyecto de Investigacion",16458
4260,"Miembro ordinario",66,"Proyecto de Investigacion",16459
4261,"Asesor",380,"Proyecto de Tesis",16461
4261,"Tesista",3684,"Proyecto de Tesis",16460
4261,"Co-Asesor",348,"Proyecto de Tesis",16462
4262,"Asesor",394,"Proyecto de Tesis",16464
4262,"Tesista",3685,"Proyecto de Tesis",16463
4262,"Co-Asesor",98,"Proyecto de Tesis",16465
4263,"Asesor",3687,"Proyecto de Tesis",16467
4263,"Co-Asesor",399,"Proyecto de Tesis",16468
4263,"Tesista",3686,"Proyecto de Tesis",16466
4264,"Tesista",3688,"Proyecto de Tesis",16469
4264,"Asesor",97,"Proyecto de Tesis",16470
4265,"Asesor",73,"Proyecto de Tesis",16472
4265,"Tesista",3689,"Proyecto de Tesis",16471
4266,"Co-Asesor",90,"Proyecto de Tesis",16475
4266,"Asesor",91,"Proyecto de Tesis",16474
4266,"Tesista",3690,"Proyecto de Tesis",16473
4267,"Asesor",98,"Proyecto de Tesis",16477
4267,"Co-Asesor",91,"Proyecto de Tesis",16478
4267,"Tesista",3691,"Proyecto de Tesis",16476
4283,"Tesista",3698,"Proyecto de Tesis",16494
4283,"Asesor",187,"Proyecto de Tesis",16495
4284,"Tesista",3699,"Proyecto de Tesis",16496
4284,"Asesor",72,"Proyecto de Tesis",16497
4285,"Asesor",82,"Proyecto de Tesis",16499
4285,"Tesista",3700,"Proyecto de Tesis",16498
4286,"Asesor",397,"Proyecto de Tesis",16501
4286,"Tesista",3701,"Proyecto de Tesis",16500
4287,"Tesista",3702,"Proyecto de Tesis",16502
4287,"Asesor",397,"Proyecto de Tesis",16503
4287,"Co-Asesor",70,"Proyecto de Tesis",16504
4288,"Asesor",397,"Proyecto de Tesis",16506
4288,"Tesista",3703,"Proyecto de Tesis",16505
4289,"Asesor",330,"Proyecto de Tesis",16508
4289,"Tesista",3704,"Proyecto de Tesis",16507
4290,"Asesor",397,"Proyecto de Tesis",16510
4290,"Co-Asesor",3706,"Proyecto de Tesis",16511
4290,"Tesista",3705,"Proyecto de Tesis",16509
4291,"Miembro ordinario",84,"Proyecto de Investigacion",16512
4292,"Tesista",3708,"Proyecto de Tesis",16522
4292,"Asesor",334,"Proyecto de Tesis",16523
4309,"Asesor",64,"Proyecto de Tesis",16525
4309,"Tesista",976,"Proyecto de Tesis",16524
4310,"Tesista",3709,"Proyecto de Tesis",16528
4310,"Asesor",50,"Proyecto de Tesis",16529
4311,"Tesista",2824,"Proyecto de Tesis",16530
4311,"Asesor",64,"Proyecto de Tesis",16531
4312,"Tesista",3710,"Proyecto de Tesis",16532
4312,"Asesor",126,"Proyecto de Tesis",16533
4325,"Tesista",3713,"Proyecto de Tesis",16534
4325,"Asesor",102,"Proyecto de Tesis",16535
4336,"Asesor",351,"Proyecto de Tesis",16537
4336,"Tesista",3712,"Proyecto de Tesis",16536
4337,"Asesor",112,"Proyecto de Tesis",16541
4337,"Tesista",3714,"Proyecto de Tesis",16540
4338,"Asesor",37,"Proyecto de Tesis",16543
4338,"Tesista",3711,"Proyecto de Tesis",16542
4339,"Asesor",351,"Proyecto de Tesis",16545
4339,"Tesista",3715,"Proyecto de Tesis",16544
4341,"Tesista",3716,"Proyecto de Tesis",16546
4341,"Asesor",350,"Proyecto de Tesis",16547
4343,"Asesor",103,"Proyecto de Tesis",16551
4343,"Tesista",3717,"Proyecto de Tesis",16550
4344,"Asesor",350,"Proyecto de Tesis",16553
4344,"Tesista",3718,"Proyecto de Tesis",16552
4345,"Tesista",3720,"Proyecto de Tesis",16555
4345,"Asesor",40,"Proyecto de Tesis",16554
4346,"Asesor",133,"Proyecto de Tesis",16557
4346,"Tesista",3721,"Proyecto de Tesis",16556
4347,"Asesor",64,"Proyecto de Tesis",16559
4347,"Tesista",3719,"Proyecto de Tesis",16558
4348,"Tesista",3722,"Proyecto de Tesis",16560
4348,"Asesor",350,"Proyecto de Tesis",16561
4349,"Tesista",3724,"Proyecto de Tesis",16564
4349,"Asesor",42,"Proyecto de Tesis",16565
4350,"Tesista",3725,"Proyecto de Tesis",16566
4350,"Asesor",350,"Proyecto de Tesis",16567
4351,"Asesor",358,"Proyecto de Tesis",16569
4351,"Tesista",3723,"Proyecto de Tesis",16568
4352,"Tesista",3726,"Proyecto de Tesis",16570
4352,"Asesor",184,"Proyecto de Tesis",16571
4353,"Asesor",350,"Proyecto de Tesis",16573
4353,"Tesista",3727,"Proyecto de Tesis",16572
4354,"Tesista",3728,"Proyecto de Tesis",16574
4354,"Co-Asesor",154,"Proyecto de Tesis",16575
4355,"Tesista",3729,"Proyecto de Tesis",16578
4355,"Asesor",351,"Proyecto de Tesis",16579
4356,"Tesista",3730,"Proyecto de Tesis",16580
