"role_name","outcome_id","author_id"
"Miembro extraordinario",4083,82
"Miembro extraordinario",4075,82
"Miembro extraordinario",4087,82
"Miembro extraordinario",4088,82
"Miembro extraordinario",4090,82
"Miembro extraordinario",4136,82
"Miembro ordinario",3733,76
"Miembro ordinario",3940,76
"Miembro ordinario",3936,76
"Miembro ordinario",3948,76
"Miembro ordinario",3955,76
"Miembro ordinario",3961,76
"Miembro ordinario",3965,76
"Miembro ordinario",3972,76
"Miembro extraordinario",4136,191
"Miembro extraordinario",4090,191
"Miembro extraordinario",4088,191
"Miembro extraordinario",4087,191
"Miembro extraordinario",4075,191
"Miembro extraordinario",4083,191
"Miembro extraordinario",4065,191
"Miembro extraordinario",4064,191
"Miembro extraordinario",4062,191
"Miembro extraordinario",4094,191
"Miembro extraordinario",4037,191
"Miembro extraordinario",4027,191
"Miembro extraordinario",4026,191
"Miembro extraordinario",4022,191
"Miembro extraordinario",4019,191
"Miembro extraordinario",4040,191
"Miembro extraordinario",4039,191
"Miembro extraordinario",4016,191
"Miembro extraordinario",4010,191
"Miembro extraordinario",4000,191
"Miembro extraordinario",3999,191
"Miembro ordinario",3266,39
"Miembro ordinario",4196,39
"Miembro extraordinario",4196,350
"Miembro extraordinario",4207,350
"Miembro extraordinario",4214,350
"Miembro extraordinario",4197,350
"Miembro extraordinario",4202,350
"Miembro ordinario",4212,39
"Miembro ordinario",4208,39
"Miembro ordinario",4207,39
"Miembro ordinario",4205,39
"Miembro ordinario",4204,39
"Miembro ordinario",4214,39
"Miembro ordinario",4202,39
"Miembro extraordinario",4204,350
"Miembro extraordinario",4205,350
"Miembro extraordinario",4208,350
"Miembro ordinario",4197,39
"Miembro extraordinario",4212,350
"Miembro extraordinario",3266,350
"Miembro ordinario",4206,29
"Miembro extraordinario",4157,34
"Miembro extraordinario",4160,34
"Miembro ordinario",4143,29
"Miembro ordinario",4137,29
"Miembro ordinario",4132,29
"Miembro ordinario",4198,29
"Miembro ordinario",4110,29
"Miembro ordinario",4099,29
"Miembro ordinario",4098,29
"Miembro ordinario",4128,29
"Miembro ordinario",4191,29
"Miembro extraordinario",4211,350
"Miembro extraordinario",4206,350
