"id","name","type","parent_id","organization_id"
95,"Transformacion e innovacion de recursos forestales","Programa",,10
96,"Transformacion e innovacion de recursos forestales","Grupo",,10
97,"Tecnologia y transformacion mecanica de recursos forestales.","Linea",96,
98,"Transformacion quimica de los recursos forestales.","Linea",96,
99,"Gestion de bosques y plantaciones forestales","Programa",,10
100,"Gestion de bosques y plantaciones forestales","Grupo",,10
101,"Control de riesgos, deforestacion y cambio climatico.","Linea",100,
102,"Silvicultura, dendrologia, manejo y ordenacion forestal.","Linea",100,
103,"Biomasa y ecologia forestal.","Linea",100,
104,"Ciencias basicas","Programa",,10
105,"Ciencias basicas","Grupo",,10
106,"Biologia y microbiologia del suelo.","Linea",105,
107,"Ecologia y conservacion de suelos.","Linea",105,
108,"Fisica y mecanica de suelos.","Linea",105,
109,"Quimica de suelos.","Linea",105,
110,"Geofisica.","Linea",105,
111,"Hidrologia y mecanica de fluidos.","Linea",105,
112,"Grupo de investigacion en conservacion de suelos","Grupo",104,10
113,"Biologia y microbiologia del suelo.","Linea",112,
114,"Fisica, quimica y conservacion del suelo.","Linea",112,
115,"Gestion de cuencas hidrograficas","Programa",,10
116,"Gestion de cuencas hidrograficas","Grupo",,10
117,"Zonificacion ecologica y economica.","Linea",116,
118,"Gestion de los recursos hidricos.","Linea",116,
119,"Gestion del riesgo.","Linea",116,
120,"Planificacion y ordenamiento territorial.","Linea",116,
121,"Gestion y conservacion del recurso suelo.","Linea",116,
122,"Cambio climatico","Programa",,10
123,"Cambio climatico","Grupo",,10
124,"Escenarios climaticos futuros y sus potenciales problemas globales sobre el suelo y agua.","Linea",123,
125,"Meteorologia y Climatologia.","Linea",123,
126,"Tecnologias de adaptacion al cambio climatico.","Linea",123,
127,"Evaluacion de los impactos ambientales de los recursos naturales.","Linea",123,
128,"Variacion de los regimenes climaticos.","Linea",123,
129,"Tecnologias de Informacion","Programa",,16
130,"Redes, seguridad y gestion de TI","Grupo",,16
131,"Redes e Infraestructura de TI.","Linea",130,
132,"Ciberseguridad.","Linea",130,
133,"Internet de las cosas.","Linea",130,
134,"Seguridad de la informacion.","Linea",130,
135,"Sistemas de Informacion","Programa",,16
136,"Sistemas de Informacion - GISI","Grupo",,16
137,"Gestion de procesos de negocio.","Linea",136,
138,"Arquitectura empresarial.","Linea",136,
